,borough,type,site_name,borough_name,latitude,longitude
0,City of London,Archives,Baring Archive,City and County of th,51.5155169909302,-0.08922629221024543
1,City of London,Archives,LexisNexis Butterworths,City and County of th,51.516312658467854,-0.11152206529322226
2,City of London,Archives,Employment Policy Institute,City and County of th,51.51506783327342,-0.07588712169359235
3,City of London,Archives,Prudential Group Archives,City and County of th,51.510390981069754,-0.08904024058696591
4,City of London,Archives,Chartered Insitute of Taxation,City and County of th,51.51520531218718,-0.11032837534025212
5,City of London,Archives,Foreign and Commonwealth Office Library,City and County of th,51.51520531218718,-0.11032837534025212
6,City of London,Archives,St Bride Library,City and County of th,51.51349204783571,-0.10502349280047492
7,City of London,Archives,The Rothschild Archive,City and County of th,51.512315286893454,-0.08903173539661931
8,City of London,Archives,Worshipful Society of Apothecaries,City and County of th,51.51289096433619,-0.10288661886062264
9,City of London,Archives,Carpenters Company,City and County of th,51.51669821477163,-0.08593668491623555
10,City of London,Archives,Clothworkers Company,City and County of th,51.511529873769184,-0.08113809363590549
11,City of London,Archives,Drapers' Company,City and County of th,51.5152392833549,-0.08635820016902823
12,City of London,Archives,Mercers' Company Archives,City and County of th,51.51416686408574,-0.09173585283533456
13,City of London,Archives,Saddlers Company,City and County of th,51.514886113758315,-0.0955972586759334
14,City of London,Archives,National Association of Citizens Advice Bureaux,City and County of th,51.51747106555315,-0.09750730842223783
15,City of London,Archives,C Hoare & Co,City and County of th,51.51377692710297,-0.10963230037739627
16,City of London,Archives,Leathersellers Company,City and County of th,51.515004910042784,-0.08154356868509867
17,City of London,Archives,Lloyds Banking Group Archives (London),City and County of th,51.51876948586639,-0.08006971146811354
18,City of London,Archives,Bishopsgate Institute,City and County of th,51.518711098634384,-0.07925055940497212
19,City of London,Archives,City of London Club,City and County of th,51.51498710217885,-0.08468246032841201
20,City of London,Archives,Schroder Archive,City and County of th,51.516003597760566,-0.09519029768411726
21,City of London,Archives,Baltic Exchange,City and County of th,51.514976472728726,-0.0801860503000319
22,City of London,Archives,Lloyd's,City and County of th,51.513014010259894,-0.0822575105225365
23,City of London,Archives,Dr Johnson's House,City and County of th,51.51503545739514,-0.10815906729427996
24,City of London,Archives,Royal Literary Fund,City and County of th,51.514801407576,-0.10870204155147878
25,City of London,Archives,City of London School,City and County of th,51.511026334659995,-0.09936120585248387
26,City of London,Archives,Institute of Actuaries,City and County of th,51.517822734182346,-0.11137194176654283
27,City of London,Archives,College of Arms,City and County of th,51.51223825494152,-0.09867661410429897
28,City of London,Archives,City of London Police Museum,City and County of th,51.516672629230996,-0.09374985518968856
29,City of London,Archives,Council for the Advancement of Arab-British Understanding,City and County of th,51.51514167261853,-0.10805377440149894
30,City of London,Archives,Mission to Seafarers,City and County of th,51.51118564659832,-0.09200460642316904
31,City of London,Archives,Museum of London Library,City and County of th,51.51779839658581,-0.09606669492678843
32,City of London,Archives,Bank of England Archive,City and County of th,51.51418808600146,-0.08862182915907171
33,City of London,Archives,Stationers Company,City and County of th,51.51428044610215,-0.10150290483227076
34,City of London,Archives,Institute of Chartered Accountants in England and Wales,City and County of th,51.516394089801295,-0.08824116817564889
35,City of London,Archives,St Bartholomew's Hospital Archives,City and County of th,51.51775143017797,-0.10037837821702664
36,City of London,Archives,Barbers Company,City and County of th,51.518017401504544,-0.09460175552164256
37,City of London,Archives,Lloyd's Register Foundation Heritage & Education Centre,City and County of th,51.51250664913171,-0.0787334229524479
38,City of London,Archives,National Council for Housing and Planning,City and County of th,51.51031625876506,-0.08446052938441584
39,City of London,Archives,Royal Town Planning Institute,City and County of th,51.51031625876506,-0.08446052938441584
40,City of London,Archives,Salters Company,City and County of th,51.51823014264285,-0.09220015630257623
41,City of London,Archives,"St Paul's Cathedral, Architectural Archive",City and County of th,51.5143032165026,-0.09902297567465372
42,City of London,Archives,Inner Temple Library,City and County of th,51.5129191276316,-0.10964476707679766
43,City of London,Archives,Inner Temple Archives,City and County of th,51.512798650331796,-0.10998123605425364
44,City of London,Archives,Goldsmiths Company,City and County of th,51.51589612954544,-0.09577131125369297
45,City of London,Archives,British Red Cross Museum and Archives,City and County of th,51.51908359284332,-0.08858642989842233
46,City of London,Archives,Middle Temple Library,City and County of th,51.511897773772866,-0.11099854495961056
47,City of London,Archives,Fishmongers Company,City and County of th,51.50935936291401,-0.08754143721728919
48,City of London,Archives,All Hallows by the Tower,City and County of th,51.50933061865676,-0.07918415574116289
49,City of London,Artists workspaces,,City and County of the City of London,51.5171891784523,-0.10564831571733817
50,City of London,Arts centres,The Barbican ,City and County of the City of London,51.51996070862563,-0.09410258866141198
51,City of London,Cinemas,Barbican Centre,City and County of the City of London,51.51996070969431,-0.09410258685676257
52,City of London,Commercial galleries,Bank of England Museum,City and County of the City of London,51.51423596367373,-0.08769741027983825
53,City of London,Commercial galleries,Carter Lane Gallery,City and County of the City of London,51.512940036953964,-0.10036243769391992
54,City of London,Commercial galleries,EXHIBIT at Golden Lane Estate,City and County of the City of London,51.52244161956729,-0.09735771862176583
55,City of London,Commercial galleries,Crypt Museum,City and County of the City of London,51.509330619725205,-0.07918415393659134
56,City of London,Community centres,Artizan Street Library & Community Centre,City of London,51.51565786521085,-0.07677027557954062
57,City of London,Community centres,Golden Lane Community Centre,City of London,51.52216763535547,-0.09543750655651877
58,City of London,Creative workspaces,The Koppel Project Hive,City of London,51.51724286731154,-0.105631671821848
59,City of London,Dance performance venues,The Arc Theatre,City and County of the City of London,51.515929805308474,-0.08566234443244887
60,City of London,Dance performance venues,Barbican Centre Theatre,City and County of the City of London,51.51996230660304,-0.09410684626769432
61,City of London,Dance performance venues,Bridewell Theatre,City and County of the City of London,51.51349204783571,-0.10502349280047492
62,City of London,Dance performance venues,"The Pit, Barbican Centre",City and County of the City of London,51.51996226913514,-0.09410454151200136
63,City of London,Dance rehearsal studios,Bishopgate Institute,City and County of the City of London,51.518711098634384,-0.07925055940497212
64,City of London,Dance rehearsal studios,"The Pit, Barbican Centre",City and County of the City of London,51.51996226913514,-0.09410454151200136
65,City of London,Fashion and design,Fashionworks London,City of London,51.518780634415094,-0.08900603153206546
66,City of London,Jewellery design,Alex Monroe Limited,City and County of the City of London,51.516636902898206,-0.08658786042070922
67,City of London,Jewellery design,Chahat Limited,City and County of the City of London,51.511872731020354,-0.09444032242278684
68,City of London,Jewellery design,Courts and Hackett Limited,City and County of the City of London,51.511834543096676,-0.1081908497320874
69,City of London,Jewellery design,Fabio Salini Ltd,City and County of the City of London,51.51298570308864,-0.09264997158717464
70,City of London,Jewellery design,Ileana Makri Trading Limited,City and County of the City of London,51.51523985364232,-0.08970199250610432
