,artist,title,year,groundtruth,height,width
T13896,John Constable,Salisbury Cathedral from the Meadows,1831,L,1537,1920
T05010,Pablo Picasso,Weeping Woman,1937,O,608,500
N05915,Pablo Picasso,Bust of a Woman,1909,P,727,600
N00530,Joseph Mallord William Turner,Snow Storm - Steam-Boat off a Harbour’s Mouth,1842,L,914,1219
T00598,Richard Dadd,The Fairy Feller’s Master-Stroke,1855,O,540,394
T02075,William Holman Hunt,The Awakening Conscience,1853,O,762,559
N05035,Edvard Munch,The Sick Child,1907,O,1187,1210
N01981,Joseph Mallord William Turner,"Norham Castle, Sunrise",1845,L,908,1219
T00165,André Derain,Henri Matisse,1905,P,460,349
T00454,Jasper Johns,0 through 9,1961,O,1372,1048
T01585,Joseph Mallord William Turner,Fishermen at Sea,1796,L,914,1222
T06859,Bridget Riley,Nataraja,1993,O,1651,2277
N05064,Dante Gabriel Rossetti,Proserpine,1874,P,1251,610
N01273,John Constable,Flatford Mill (‘Scene on a Navigable River’),1816,L,1016,1270
T00445,Georges Braque,Bottle and Fishes,1910,O,619,749
L01903,Claude Monet,Water-Lilies,1916,O,2007,4267
N00476,Joseph Mallord William Turner,The Shipwreck,1805,L,1705,2416
N01279,Dante Gabriel Rossetti,Beata Beatrix,1864,O,864,660
T12611,Pierre Bonnard,Nude in the Bath,1925,O,1048,654
N05613,John Martin,The Great Day of His Wrath,1851,L,1965,3032
N02053,John Singer Sargent,Ellen Terry as Lady Macbeth,1889,P,2210,1143
T12617,Lucian Freud,Girl with a Kitten,1947,P,410,307
N01542,John William Waterhouse,Saint Eulalia,1885,O,1886,1175
T06600,Gerhard Richter,Abstract Painting (726),1990,O,2510,3510
N06039,Lucian Freud,Girl with a White Dog,1950,P,762,1016
N04103,John Singer Sargent,Claude Monet Painting by the Edge of a Wood,1885,O,540,648
T04109,Giorgio de Chirico,The Uncertainty of the Poet,1913,O,1060,940
T06834,Lucian Freud,Leigh Bowery,1991,P,510,409
N06205,Pablo Picasso,Nude Woman in a Red Armchair,1932,P,1299,972
T00358,Alberto Giacometti,Diego,1959,P,610,498
T06802,Pablo Picasso,The Studio,1955,O,809,649
T00111,L.S. Lowry,Industrial Landscape,1955,L,1143,1524
T01928,John Martin,The Plains of Heaven,1851,L,1988,3067
N01634,George Frederic Watts,The Minotaur,1885,O,1181,945
N04005,"Sir Edward Coley Burne-Jones, Bt",The Golden Stairs,1880,O,2692,1168
N00307,Sir Joshua Reynolds,The Age of Innocence,1788,P,765,638
AR00027,Gerhard Richter,Abstract Painting (809-3),1994,O,2300,2048
N04494,Pierre Bonnard,The Window,1925,O,1086,886
N05717,Paul Nash,Totes Meer (Dead Sea),1940,O,1020,1524
N06241,Henri Matisse,André Derain,1905,P,394,289
N00112,William Hogarth,The Painter and his Pug,1745,P,900,699
N04999,William Morris,La Belle Iseult,1858,P,718,502
T12619,Lucian Freud,The Painter’s Mother IV,1973,P,273,186
T01972,Lucian Freud,Naked Portrait,1972,P,610,610
N03418,James Abbott McNeill Whistler,"Symphony in White, No. 2: The Little White Girl",1864,P,765,511
N01657,"Sir John Everett Millais, Bt",The Order of Release 1746,1852,O,1029,737
T00833,Georges Braque,Mandora,1909,O,711,559
N00458,Joseph Mallord William Turner,Self-Portrait,1799,P,743,584
N01679,Herbert Draper,The Lament for Icarus,1898,O,1829,1556
T02053,George Grosz,Suicide,1916,O,1000,775
T05846,Joseph Wright of Derby,"Vesuvius in Eruption, with a View over the Islands in the Bay of Naples",1776,L,1220,1764
T07467,Peter Doig,Echo Lake,1998,L,2305,3605
T00680,René Magritte,Man with a Newspaper,1928,O,1156,813
N04872,Dante Gabriel Rossetti,The Girlhood of Mary Virgin,1848,O,832,654
T01927,John Martin,The Last Judgement,1853,L,1968,3258
T00459,Francis Bacon,Seated Figure,1961,P,1651,1422
T03846,Mark Gertler,Merry-Go-Round,1916,O,1892,1422
T00876,Henry Fuseli,"The Shepherd’s Dream, from ‘Paradise Lost’",1793,O,1543,2153
N00604,Sir Edwin Henry Landseer,Dignity and Impudence,1839,O,889,692
L03007,Pablo Picasso,Bust of a Woman,1944,P,810,650
T03335,Sir Stanley Spencer,Self-Portrait,1959,P,508,406
T07645,André Fougeron,Atlantic Civilisation,1953,O,3800,5590
N05667,Paul Nash,Landscape from a Dream,1936,O,679,1016
N03280,Augustus Leopold Egg,"Past and Present, No. 3",1858,O,635,762
N04720,Pablo Picasso,Girl in a Chemise,1905,P,727,600
N00371,Joseph Mallord William Turner,The Golden Bough,1834,L,1041,1638
T06856,Johan Zoffany,Colonel Mordaunt’s Cock Match,1784,O,1039,1500
N03279,Augustus Leopold Egg,"Past and Present, No. 2",1858,O,635,762
T02414,Francis Bacon,Study for Portrait II (after the Life Mask of William Blake),1955,P,610,508
N05665,William Holman Hunt,"Our English Coasts, 1852 (‘Strayed Sheep’)",1852,L,432,584
T01222,Giacomo Balla,Abstract Speed - The Car has Passed,1913,L,502,654
N00519,Joseph Mallord William Turner,Regulus,1828,L,895,1238
T06670,Joseph Wright of Derby,An Iron Forge,1772,O,1213,1320
T01979,Salvador Dalí,Mountain Lake,1938,O,730,921
N00550,Joseph Mallord William Turner,The Angel Standing in the Sun,1846,O,787,787
T01582,Ad Reinhardt,Abstract Painting No. 5,1962,O,1524,1524
N04820,Meredith Frampton,Portrait of a Young Woman,1935,P,2057,1079
T00134,Paul Delvaux,Sleeping Venus,1944,O,1727,1991
T00879,Francis Bacon,Portrait of Isabel Rawsthorne,1966,P,813,686
T00397,George Elgar Hicks,Woman’s Mission: Companion of Manhood,1863,O,762,641
N04567,Duncan Grant,Bathing,1911,O,2286,3061
N04810,John Constable,Sketch for ‘Hadleigh Castle’,1828,L,1226,1673
N00529,Joseph Mallord William Turner,War. The Exile and the Rock Limpet,1842,O,794,794
N00560,Joseph Mallord William Turner,Chichester Canal,1828,L,654,1346
T00226,Francis Bacon,Study for Portrait of Van Gogh IV,1957,O,1524,1168
T06928,Pablo Picasso,Head of a Woman,1924,P,345,265
N06189,Maria Helena Vieira da Silva,The Corridor,1950,O,648,911
T00928,Angelica Kauffman,Portrait of a Lady,1775,P,910,770
N03173,Gwen John,Nude Girl,1909,P,445,279
N04134,Pierre Bonnard,The Table,1925,O,1029,743
T04905,Alberto Giacometti,Jean Genet,1954,P,653,543
N05591,George Romney,Emma Hart as Circe,1782,P,533,495
T02211,Piet Mondrian,The Tree A,1913,O,1003,673
N02437,William Hogarth,A Scene from ‘The Beggar’s Opera’ VI,1731,O,572,762
N00544,Joseph Mallord William Turner,Going to the Ball (San Martino),1846,L,616,924
N05767,Richard Dadd,The Flight out of Egypt,1849,O,1010,1264
T03670,Pablo Picasso,Nude Woman with Necklace,1968,O,1135,1617
T01091,Barnett Newman,Adam,1951,O,2429,2029
N04713,Vincent van Gogh,Farms near Auvers,1890,L,502,1003
T04904,John Constable,"The Opening of Waterloo Bridge (‘Whitehall Stairs, June 18th, 1817’)",1832,L,1308,2180
T06808,Juan Gris,Bottle of Rum and Newspaper,1913,O,460,370
N04783,John Singer Sargent,The Black Brook,1908,P,552,698
N06067,Georges Seurat,"Le Bec du Hoc, Grandcamp",1885,L,648,816
N05456,Frances Hodgkins,Loveday and Ann: Two Women with a Basket of Flowers,1915,P,673,673
N03846,Walter Richard Sickert,Ennui,1914,O,1524,1124
N05976,Giorgio de Chirico,The Painter’s Family,1926,O,1464,1149
N00531,Joseph Mallord William Turner,Shade and Darkness - the Evening of the Deluge,1843,L,787,781
T00936,Pierre Bonnard,The Bowl of Milk,1919,O,1162,1210
T00902,Atkinson Grimshaw,Liverpool Quay by Moonlight,1887,O,610,914
T05207,Gerhard Richter,St John,1988,O,2005,2605
T05075,Sir William Rothenstein,Mother and Child,1903,O,969,765
T02000,Thomas Gainsborough,Giovanna Baccelli,1782,P,2267,1486
T03252,Max Ernst,Pietà or Revolution by Night,1923,O,1162,889
T03327,Jackson Pollock,Naked Man with Knife,1938,O,1347,990
N04724,Paul Cézanne,The Gardener Vallier,1906,P,654,549
