,ratio_model
T13896,O
T05010,P
N05915,P
N00530,L
T00598,P
T02075,P
N05035,O
N01981,L
T00165,P
T00454,P
T01585,L
T06859,L
N05064,P
N01273,L
T00445,O
L01903,L
N00476,L
N01279,P
T12611,P
N05613,L
N02053,P
T12617,P
N01542,P
T06600,L
N06039,L
N04103,O
T04109,O
T06834,P
N06205,P
T00358,P
T06802,P
T00111,L
T01928,L
N01634,P
N04005,P
N00307,O
AR00027,O
N04494,P
N05717,L
N06241,P
N00112,P
N04999,P
T12619,P
T01972,O
N03418,P
N01657,P
T00833,P
N00458,P
N01679,O
T02053,P
T05846,L
T07467,L
T00680,P
N04872,P
T01927,L
T00459,O
T03846,P
T00876,L
N00604,P
L03007,P
T03335,P
T07645,L
N05667,L
N03280,O
N04720,P
N00371,L
T06856,L
N03279,O
T02414,P
N05665,L
T01222,L
N00519,L
T06670,O
T01979,L
N00550,O
T01582,O
N04820,P
T00134,O
T00879,O
T00397,O
N04567,L
N04810,L
N00529,O
N00560,L
T00226,P
T06928,P
N06189,L
T00928,O
N03173,P
N04134,P
T04905,P
N05591,O
T02211,P
N02437,L
N00544,L
N05767,L
T03670,L
T01091,O
N04713,L
T04904,L
T06808,P
N04783,L
N06067,L
N05456,O
N03846,P
N05976,P
N00531,O
T00936,O
T00902,L
T05207,L
T05075,P
T02000,P
T03252,P
T03327,P
N04724,O
N00497,O
T00913,O
N00460,L
N05366,P
N01607,L
N02661,L
N05804,P
T03107,O
N05909,P
N03054,O
T07519,P
N06188,P
T00772,L
N00079,O
TW1258,L
N01043,L
N01990,L
N04102,P
N06194,O
N04622,P
T13636,O
T03028,P
N05596,L
T00295,L
T01108,P
N05916,L
N05065,L
N01584,L
N00523,L
N02476,P
N00503,L
T05217,L
T06736,L
TW0948,L
N00558,L
N01645,P
N04787,P
T03374,O
N03708,P
T00676,P
N04273,O
N05688,L
N01876,O
N01839,P
N06135,P
N05491,P
N02653,L
T04945,O
T03415,O
N01153,O
N01574,P
N06248,O
N01407,L
N00382,P
N01275,L
T03291,L
T12796,O
N00516,L
T12988,P
N03420,L
N00461,P
N01541,L
N02940,P
L02546,P
N00477,L
N01630,P
N01509,L
T02309,P
N00422,L
N05555,P
N01612,P
T00439,P
T14872,L
T00961,O
N00502,L
T04115,O
N01627,L
N01553,L
T13719,O
N05957,L
N01511,O
L01926,L
T03189,O
T12865,P
T00920,P
T00453,P
N01590,L
N04132,L
N00470,L
AR01126,P
N06034,P
N05305,P
N00492,L
N00606,P
N00162,P
N04717,P
N04723,P
N05077,P
T05077,L
T07080,L
T07956,P
N05638,O
N04465,P
N04184,P
T03366,O
N04093,O
N04719,P
T03834,O
N01374,O
T13558,O
N01613,L
T07403,P
N04445,L
N02440,O
T03548,P
T03864,L
TW0352,L
N02655,P
T01287,O
N05953,O
T03105,P
T03693,L
N01992,L
T01076,O
N01544,L
N05477,L
T11810,P
T00324,O
N04824,O
N00887,P
N04538,O
N05386,P
N00358,O
T07469,O
N01249,O
N03597,P
N05779,O
T01541,P
T00245,L
T07104,P
T00132,P
N00535,L
N00483,L
N02882,L
N03295,P
T13308,L
T03672,O
N00512,L
T07693,P
T00782,P
T07312,L
N01236,L
T06612,O
N03566,P
T01588,P
N01482,P
TW1328,L
T07705,P
N00126,L
N00463,L
T03564,O
T00618,P
T06734,P
N01641,P
T00058,L
N03174,P
N01244,L
T03614,O
N05908,O
N05078,O
N06008,L
T11861,L
T04147,P
N01577,L
T00306,P
T06640,P
T00755,P
N05487,L
T02020,L
N00513,L
T07694,O
N00682,O
N00432,L
N02650,L
N05392,L
T00465,P
T03096,P
N00327,O
N00142,P
N01814,L
N04500,O
T12612,L
T00211,O
T04105,L
T06782,O
L01713,P
T11896,O
T03294,P
N05066,P
N03343,P
T05747,P
N05261,P
N05574,O
T00519,L
N05343,L
T03231,P
N00548,L
T07328,P
T14922,P
T00591,L
T12539,L
N02064,L
N04249,O
T07863,O
T00070,P
N01625,P
T14037,O
T00140,L
N01046,L
N05744,P
N04117,O
T00422,P
T03666,O
T07400,P
TW1813,P
T14302,P
N06206,L
T03569,P
N01274,L
N06190,P
AR00344,O
N04505,P
T02410,P
N00310,O
TW0867,L
N03474,P
N04924,O
T03064,P
T03334,P
T03230,P
N01632,P
N05256,L
N01167,O
T05486,O
T02058,L
N05269,P
N05910,P
N04662,L
N02001,L
N05515,L
T02375,L
N05317,P
L02305,L
T03031,P
N04592,P
N04485,O
N02063,P
T03683,L
N05575,O
T07552,L
N06242,P
N05437,L
N05780,P
T02139,P
T03885,L
T00404,P
N01672,P
N03201,P
T07799,O
N00539,L
TW1298,O
T03053,P
T12959,P
N01235,L
T01193,O
T03190,O
N04916,O
N01510,P
N05302,L
N05139,L
T00466,L
T00142,O
T00895,L
T00133,O
N05042,L
T06665,P
N04949,O
T02308,P
N05251,L
N00494,L
N04843,L
T01451,L
N02982,L
N05905,P
N03706,P
T12615,L
N06074,O
N03171,P
T00801,L
T00893,P
N04469,P
N00306,P
T03876,L
T06745,L
T00868,L
T04130,L
N01902,L
T00118,P
N01819,L
N01512,L
T13655,P
N00545,L
N02701,L
T01184,P
T03887,P
N02666,L
T00375,P
N01276,L
T02079,L
N01582,L
N00534,L
N01555,L
T00807,L
N06261,L
T12609,P
N00121,L
N04271,P
N05690,L
N00799,P
N05405,P
T00500,P
N05513,L
T03572,L
T03705,P
N00511,L
N00369,L
N05906,P
N05552,O
N03000,P
N02854,P
N00795,L
T06750,O
N05882,L
N05461,P
N01635,P
N02870,P
T04848,O
T00303,O
T12313,O
T00359,O
N05612,O
N01980,L
T03373,P
T03883,L
N01987,L
T02110,L
N00425,L
T06996,L
N01589,L
N03176,P
T07478,O
T04863,L
T07594,P
N03953,O
N04694,P
T05500,O
N05176,P
N05374,O
N00409,L
N03574,O
N04831,L
T07822,L
N01540,L
N02424,L
T00746,O
T01772,O
T11862,P
N01571,L
N01161,P
N04232,P
N00133,P
N05981,L
N00486,L
N03509,P
T01895,P
T03365,L
N02132,P
T13861,L
N01521,L
T07198,P
T00690,O
T01079,P
N04088,P
N00471,L
N03709,P
T06482,O
TW0850,L
N02280,P
N01658,L
T00692,L
T03540,P
N04180,O
L02877,P
N04818,L
N03967,O
T00461,P
N00485,L
N01513,L
T03033,P
N01350,L
T06786,O
N05462,L
T00671,L
T01252,L
N01813,L
N04484,P
T00659,P
TW0522,L
N02702,L
T00795,O
N05255,L
N03713,P
N00886,P
N01283,O
N05643,O
N01647,L
N00273,P
T14002,L
N00553,L
T00197,L
T05854,L
T01705,L
T12260,L
N06003,L
T03359,L
N02997,O
N00608,L
N00481,L
T01960,O
N00108,L
N06243,P
N01040,L
N00188,P
N04703,P
N05212,L
N00893,O
T00096,O
N05632,L
T03249,O
N05495,L
N01403,P
T05757,O
N01644,P
N06283,L
T00251,P
N04610,L
N05776,L
N05833,O
N03824,O
N04861,P
N03836,P
T01455,L
T07733,P
N00559,L
N00504,L
N01772,P
N04749,O
T07058,O
T07896,P
T07433,O
T07864,L
N04633,P
N01549,P
T03902,O
N03707,P
T05464,L
T03542,P
N00501,L
N05260,P
N05517,L
TW0360,L
N03705,P
T03792,L
T03982,P
T03068,O
N03393,P
T00319,P
N04996,L
N05050,P
N02659,P
T00662,P
N01569,L
N05288,L
N04726,L
T03208,P
T05866,P
T03962,P
N05325,L
N04838,O
N00525,O
N05799,P
T07434,O
T12293,L
N01396,P
T03431,P
N01617,L
N01391,L
TW1368,L
N04923,L
T01998,P
N03550,P
N05901,P
T01996,O
N04958,O
L02925,P
T03094,L
N03137,P
N01557,L
N01626,L
N01648,L
T05572,L
T00330,O
N00892,P
T12540,P
T03364,L
N01580,L
N05091,O
N03181,P
N01600,L
T11922,O
T05770,P
N05447,L
T03265,O
T04996,L
N01631,P
TW1072,P
N05439,L
N04766,P
N02943,P
T14495,P
N01877,L
N04673,P
N05247,P
N03575,O
T07704,L
N06225,P
T03665,L
N05964,P
TW0972,L
TW1068,L
N01068,O
N04376,P
N05951,O
T07746,L
T00579,O
N01529,L
T07050,P
T01254,L
N00518,L
T12309,P
N06079,L
T03232,P
N00557,L
N00312,P
N03954,L
N03217,L
T06521,P
T06746,O
T06498,O
N03517,P
N02212,P
T01047,O
N01402,P
N00922,P
T03458,O
N05019,P
N04545,O
T05762,L
N03865,O
N05876,P
T03234,L
N05171,L
N04845,P
T00139,P
T01474,O
N05401,O
T02101,L
T07105,P
T00551,P
T03649,O
N05572,P
T00767,O
T14513,O
N04593,O
N05100,L
T05561,L
T13032,O
N00689,L
N01246,O
N01919,P
T03875,L
N01322,L
T03248,L
N00106,P
T02113,L
T01884,P
N04486,L
T01873,L
T01063,L
T13565,O
N06244,L
N04747,O
N05276,P
TW0580,O
T00158,P
N04466,P
T07033,L
N01663,P
L02458,L
T03704,P
N04669,P
N00554,L
TW0160,L
N00546,L
AR00028,O
N05037,P
T00922,O
T00073,P
T14776,P
N01935,P
N06267,L
N03182,O
T00152,P
N04237,L
N03814,P
N02065,L
T00124,L
N05253,O
N05331,L
T07697,O
N03643,L
L02926,P
N06158,L
N01016,P
N05864,O
T06660,L
T03368,P
N04784,O
N01823,L
T00788,L
N01894,P
T03869,L
T05723,P
N05218,O
T01336,L
N01585,P
N02425,L
N04942,L
T05494,P
N05172,O
N05630,O
T13897,L
T03880,L
N05144,O
T11915,O
T13845,P
N05883,L
T00004,P
T11900,L
N04874,L
N03628,P
T00372,L
T07946,L
N05765,O
N04264,L
T00855,L
N01667,P
N03549,O
N00391,L
T13803,O
N05265,P
T14838,P
T04162,O
A00837,P
T14386,P
N04221,P
T11787,P
N00313,L
T02141,P
N04151,P
N02654,L
N00813,L
T00318,P
T03884,L
N00229,P
T14281,L
N04259,O
N01564,P
T00885,P
T14504,O
N04777,P
T00727,P
N02761,P
T01199,L
T07740,O
N05432,P
N05929,P
T07132,L
T12820,L
N01969,P
T03447,P
N03135,L
N06222,O
N03565,P
N01535,L
N01487,O
T02217,P
T00136,P
T05019,P
T07401,L
T03438,L
N01989,L
N03467,O
N05148,P
T07730,P
N01515,L
T03464,P
N01941,P
N04540,P
T03223,O
T04944,O
T13024,P
N00898,L
T04166,P
