,artist,title,year,†artist,*artist
N01506,"Sir John Everett Millais, Bt",Ophelia,1850,1896,1829
T13896,John Constable,Salisbury Cathedral from the Meadows,1800,1837,1776
T05010,Pablo Picasso,Weeping Woman,1910,1973,1881
N01615,John Singer Sargent,"Carnation, Lily, Lily, Rose",1880,1925,1856
T02343,Salvador Dalí,Metamorphosis of Narcissus,1930,1989,1904
N01543,John William Waterhouse,The Lady of Shalott,1870,1917,1849
N05915,Pablo Picasso,Bust of a Woman,1910,1973,1881
N00530,Joseph Mallord William Turner,Snow Storm - Steam-Boat off a Harbour’s Mouth,1800,1851,1775
N04948,Wassily Kandinsky,Cossacks,1890,1944,1866
T00598,Richard Dadd,The Fairy Feller’s Master-Stroke,1840,1886,1817
N01522,Sir Luke Fildes,The Doctor,1870,1927,1843
T02075,William Holman Hunt,The Awakening Conscience,1850,1910,1827
N05035,Edvard Munch,The Sick Child,1890,1944,1863
N05782,Giorgio Morandi,Still Life,1910,1964,1890
T00648,Piet Mondrian,"Composition with Yellow, Blue and Red",1900,1944,1872
N00490,Joseph Mallord William Turner,Snow Storm: Hannibal and his Army Crossing the Alps,1800,1851,1775
N03584,"Sir John Everett Millais, Bt",Christ in the House of His Parents (‘The Carpenter’s Shop’),1850,1896,1829
T03255,David Hockney,My Parents,1940,1937,1937
N01981,Joseph Mallord William Turner,"Norham Castle, Sunrise",1800,1851,1775
T00165,André Derain,Henri Matisse,1900,1954,1880
T00454,Jasper Johns,0 through 9,1930,1930,1930
T00733,Henry Fuseli,Lady Macbeth Seizing the Daggers,1770,1825,1741
T00729,Pablo Picasso,The Three Dancers,1910,1973,1881
T01988,Max Ernst,Celebes,1920,1976,1891
T01585,Joseph Mallord William Turner,Fishermen at Sea,1800,1851,1775
T06859,Bridget Riley,Nataraja,1930,1931,1931
N05064,Dante Gabriel Rossetti,Proserpine,1850,1882,1828
N01273,John Constable,Flatford Mill (‘Scene on a Navigable River’),1800,1837,1776
T07346,Dorothea Tanning,Eine Kleine Nachtmusik,1940,2012,1910
N01210,Dante Gabriel Rossetti,Ecce Ancilla Domini! (The Annunciation),1850,1882,1828
T00445,Georges Braque,Bottle and Fishes,1910,1963,1882
T01978,Salvador Dalí,Autumnal Cannibalism,1930,1989,1904
T00275,Mark Rothko,Light Red Over Black,1930,1970,1903
L01903,Claude Monet,Water-Lilies,1870,1926,1840
N00476,Joseph Mallord William Turner,The Shipwreck,1800,1851,1775
N01279,Dante Gabriel Rossetti,Beata Beatrix,1850,1882,1828
N01640,George Frederic Watts and assistants,Hope,1850,1904,1817
N03278,Augustus Leopold Egg,"Past and Present, No. 1",1830,1863,1816
T12611,Pierre Bonnard,Nude in the Bath,1890,1947,1867
T07560,Piet Mondrian,Composition B (No.II) with Red,1900,1944,1872
N01771,"Sir Edward Coley Burne-Jones, Bt",King Cophetua and the Beggar Maid,1850,1898,1833
T02319,Kazimir Malevich,Dynamic Suprematism,1900,1935,1879
T12936,Emily Mary Osborn,"Nameless and Friendless. “The rich man’s wealth is his strong city, etc.” - Proverbs, x, 15",1860,1925,1828
N05613,John Martin,The Great Day of His Wrath,1810,1854,1789
T03978,Jackson Pollock,Number 14,1930,1956,1912
N02053,John Singer Sargent,Ellen Terry as Lady Macbeth,1880,1925,1856
N00528,Joseph Mallord William Turner,Peace - Burial at Sea,1800,1851,1775
N00499,Joseph Mallord William Turner,The Decline of the Carthaginian Empire ...,1800,1851,1775
N00733,John Singleton Copley,"The Death of Major Peirson, 6 January 1781",1760,1815,1738
T12617,Lucian Freud,Girl with a Kitten,1950,2011,1922
N01542,John William Waterhouse,Saint Eulalia,1870,1917,1849
T06600,Gerhard Richter,Abstract Painting (726),1930,1932,1932
N06039,Lucian Freud,Girl with a White Dog,1950,2011,1922
N04103,John Singer Sargent,Claude Monet Painting by the Edge of a Wood,1880,1925,1856
T01233,Robert Delaunay,Endless Rhythm,1900,1941,1885
T04109,Giorgio de Chirico,The Uncertainty of the Poet,1920,1978,1888
N00793,John Martin,The Destruction of Pompei and Herculaneum,1810,1854,1789
T06834,Lucian Freud,Leigh Bowery,1950,2011,1922
N06205,Pablo Picasso,Nude Woman in a Red Armchair,1910,1973,1881
N01685,Henry Wallis,Chatterton,1860,1916,1830
T00358,Alberto Giacometti,Diego,1920,1966,1901
N04495,Pierre Bonnard,The Bath,1890,1947,1867
T06802,Pablo Picasso,The Studio,1910,1973,1881
N05414,Pierre Bonnard,Coffee,1890,1947,1867
N01959,James Abbott McNeill Whistler,Nocturne: Blue and Gold - Old Battersea Bridge,1860,1903,1834
T00111,L.S. Lowry,Industrial Landscape,1920,1976,1887
N06136,Marc Chagall,The Blue Circus,1920,1985,1887
T01928,John Martin,The Plains of Heaven,1810,1854,1789
T07496,Pauline Boty,The Only Blonde in the World,1950,1966,1938
N01634,George Frederic Watts,The Minotaur,1850,1904,1817
N04005,"Sir Edward Coley Burne-Jones, Bt",The Golden Stairs,1850,1898,1833
N06007,Joan Miró,Women and Bird in the Moonlight,1920,1983,1893
N06032,L.S. Lowry,The Pond,1920,1976,1887
N00307,Sir Joshua Reynolds,The Age of Innocence,1750,1792,1723
AR00027,Gerhard Richter,Abstract Painting (809-3),1930,1932,1932
N04494,Pierre Bonnard,The Window,1890,1947,1867
N05717,Paul Nash,Totes Meer (Dead Sea),1910,1946,1889
N04239,Sir Stanley Spencer,"The Resurrection, Cookham",1910,1959,1891
N06241,Henri Matisse,André Derain,1900,1954,1869
N00112,William Hogarth,The Painter and his Pug,1720,1764,1697
N04999,William Morris,La Belle Iseult,1850,1896,1834
T12619,Lucian Freud,The Painter’s Mother IV,1950,2011,1922
N01228,Henry Fuseli,Titania and Bottom,1770,1825,1741
T01972,Lucian Freud,Naked Portrait,1950,2011,1922
N03418,James Abbott McNeill Whistler,"Symphony in White, No. 2: The Little White Girl",1860,1903,1834
N01572,John William Waterhouse,The Magic Circle,1870,1917,1849
